GATEWAYID,SIP REQUEST,OWNER,Type,OPERATOR,,IP,Position,Conso Max
4261,SIP/41.204.105.85/933442610 ,FRED,SIMBOX,TELMA DEB,GOIP14,192.168.0.106,1,
4262,SIP/41.204.105.85/933442620 ,FRED,SIMBOX,TELMA DEB,GOIP14,192.168.0.106,2,
4263,SIP/41.204.105.85/933442630 ,FRED,SIMBOX,TELMA DEB,GOIP14,192.168.0.106,3,
4264,SIP/41.204.105.85/933442640 ,FRED,SIMBOX,TELMA DEB,GOIP14,192.168.0.106,4,
4265,SIP/41.204.105.85/933442650 ,FRED,SIMBOX,TELMA DEB,GOIP14,192.168.0.106,5,
4266,SIP/41.204.105.85/933442660 ,FRED,SIMBOX,TELMA DEB,GOIP14,192.168.0.106,6,
4267,SIP/41.204.105.85/933442670 ,FRED,SIMBOX,TELMA DEB,GOIP14,192.168.0.106,7,
4268,SIP/41.204.105.85/933442680 ,FRED,SIMBOX,TELMA DEB,GOIP14,192.168.0.106,8,
4251,SIP/41.204.105.85/933442510 ,FRED,SIMBOX,TELMA DEB,GOIP14,192.168.0.106,1,
4252,SIP/41.204.105.85/933442520 ,FRED,SIMBOX,TELMA DEB,GOIP11,192.168.0.103,2,
4253,SIP/41.204.105.85/933442530 ,FRED,SIMBOX,TELMA DEB,GOIP11,192.168.0.103,3,
4254,SIP/41.204.105.85/933442540 ,FRED,SIMBOX,TELMA DEB,GOIP11,192.168.0.103,4,
4255,SIP/41.204.105.85/933442550 ,FRED,SIMBOX,TELMA DEB,GOIP11,192.168.0.103,5,
4256,SIP/41.204.105.85/933442560 ,FRED,SIMBOX,TELMA DEB,GOIP11,192.168.0.103,6,
4257,SIP/41.204.105.85/933442570 ,FRED,SIMBOX,TELMA DEB,GOIP11,192.168.0.103,7,
4258,SIP/41.204.105.85/933442580 ,FRED,SIMBOX,TELMA DEB,GOIP11,192.168.0.103,8,
3061,SIP/41.204.96.174/933430610 ,FRED,SIMBOX,AIRTEL mixte,GOIP15,s2-192.168.0.107,1,
3062,SIP/41.204.96.174/933430620 ,FRED,SIMBOX,AIRTEL mixte,GOIP15,s2-192.168.0.107,2,
3063,SIP/41.204.96.174/933430630 ,FRED,SIMBOX,AIRTEL mixte,GOIP15,s2-192.168.0.107,3,
3064,SIP/41.204.96.174/933430640 ,FRED,SIMBOX,AIRTEL mixte,GOIP15,s2-192.168.0.107,4,
3065,SIP/41.204.96.174/933430650 ,FRED,SIMBOX,AIRTEL mixte,GOIP15,s2-192.168.0.107,5,
3066,SIP/41.204.96.174/933430660 ,FRED,SIMBOX,AIRTEL mixte,GOIP15,s2-192.168.0.107,6,
3067,SIP/41.204.96.174/933430670 ,FRED,SIMBOX,AIRTEL mixte,GOIP15,s2-192.168.0.107,7,
3068,SIP/41.204.96.174/933430680 ,FRED,SIMBOX,AIRTEL mixte,GOIP15,s2-192.168.0.107,8,
3071,SIP/41.204.96.174/933430710 ,FRED,SIMBOX,AIRTEL,GOIP106,s1-192.168.0.106,1,
